Algorithm,Metric,Grid number,Mean,Median,Standard Deviation,Minimum,Maximum
LPA*,Memory Allocation (KB),4.0,52.5234375,52.5234375,0.0,52.5234375,52.5234375
LPA*,Memory Allocation (KB),5.0,52.3203125,52.3203125,0.0,52.3203125,52.3203125
LPA*,Memory Allocation (KB),6.0,146.5,146.5,0.0,146.5,146.5
ARA*,Number of expanded nodes,1.0,2049.0,2049.0,0.0,2049.0,2049.0
ARA*,Number of expanded nodes,2.0,2350.0,2350.0,0.0,2350.0,2350.0
ARA*,Number of expanded nodes,3.0,2301.0,2301.0,0.0,2301.0,2301.0
ARA*,Number of expanded nodes,4.0,2664.0,2664.0,0.0,2664.0,2664.0
ARA*,Number of expanded nodes,5.0,2644.0,2644.0,0.0,2644.0,2644.0
ARA*,Number of expanded nodes,6.0,4634.0,4634.0,0.0,4634.0,4634.0
RTAA**,Number of expanded nodes,1.0,1065.0,1065.0,0.0,1065.0,1065.0
RTAA**,Number of expanded nodes,2.0,1916.0,1916.0,0.0,1916.0,1916.0
RTAA**,Number of expanded nodes,3.0,1551.0,1551.0,0.0,1551.0,1551.0
RTAA**,Number of expanded nodes,4.0,1542.0,1542.0,0.0,1542.0,1542.0
RTAA**,Number of expanded nodes,5.0,1542.0,1542.0,0.0,1542.0,1542.0
RTAA**,Number of expanded nodes,6.0,2194.0,2194.0,0.0,2194.0,2194.0
LRTA*,Number of expanded nodes,1.0,883.0,883.0,0.0,883.0,883.0
LRTA*,Number of expanded nodes,2.0,1176.0,1176.0,0.0,1176.0,1176.0
LRTA*,Number of expanded nodes,3.0,1179.0,1179.0,0.0,1179.0,1179.0
LRTA*,Number of expanded nodes,4.0,1057.0,1057.0,0.0,1057.0,1057.0
LRTA*,Number of expanded nodes,5.0,1057.0,1057.0,0.0,1057.0,1057.0
LRTA*,Number of expanded nodes,6.0,1317.0,1317.0,0.0,1317.0,1317.0
D*,Number of expanded nodes,1.0,15232.0,15232.0,0.0,15232.0,15232.0
D*,Number of expanded nodes,2.0,15026.0,15026.0,0.0,15026.0,15026.0
D*,Number of expanded nodes,3.0,14834.0,14834.0,0.0,14834.0,14834.0
D*,Number of expanded nodes,4.0,14628.0,14628.0,0.0,14628.0,14628.0
D*,Number of expanded nodes,5.0,14436.0,14436.0,0.0,14436.0,14436.0
D*,Number of expanded nodes,6.0,14230.0,14230.0,0.0,14230.0,14230.0
D* Lite,Number of expanded nodes,1.0,1521.0,1521.0,0.0,1521.0,1521.0
D* Lite,Number of expanded nodes,2.0,1477.0,1477.0,0.0,1477.0,1477.0
D* Lite,Number of expanded nodes,3.0,1444.0,1444.0,0.0,1444.0,1444.0
D* Lite,Number of expanded nodes,4.0,1290.0,1290.0,0.0,1290.0,1290.0
D* Lite,Number of expanded nodes,5.0,1265.0,1265.0,0.0,1265.0,1265.0
D* Lite,Number of expanded nodes,6.0,1233.0,1233.0,0.0,1233.0,1233.0
LPA*,Number of expanded nodes,1.0,993.0,993.0,0.0,993.0,993.0
LPA*,Number of expanded nodes,2.0,965.0,965.0,0.0,965.0,965.0
LPA*,Number of expanded nodes,3.0,937.0,937.0,0.0,937.0,937.0
LPA*,Number of expanded nodes,4.0,898.0,898.0,0.0,898.0,898.0
LPA*,Number of expanded nodes,5.0,894.0,894.0,0.0,894.0,894.0
LPA*,Number of expanded nodes,6.0,1346.0,1346.0,0.0,1346.0,1346.0
ARA*,Number of searches,1.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,2.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,3.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,4.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,5.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,6.0,5.0,5.0,0.0,5.0,5.0
RTAA**,Number of searches,1.0,5.0,5.0,0.0,5.0,5.0
