Algorithm,Metric,Grid number,Mean,Median,Standard Deviation,Minimum,Maximum
LPA*,Execution time (ms),3.0,328.37018441,328.139323,1.9548929968569981,324.436051,333.300045
LPA*,Execution time (ms),4.0,331.98790517000003,331.7989645,2.051399643217336,327.001361,338.095876
LPA*,Execution time (ms),5.0,336.00531944,335.772515,2.0416734456790917,332.621022,344.181376
LPA*,Execution time (ms),6.0,339.26286304,339.3938465,1.8806953778601636,335.435975,345.738069
LPA*,Execution time (ms),7.0,342.67691145000003,342.572947,2.1078531834610983,338.937079,350.51622
ARA*,Path cost,1.0,89.69848480983497,89.69848480983497,0.0,89.69848480983497,89.69848480983497
ARA*,Path cost,2.0,101.98275605729687,101.98275605729684,2.856489275186539e-14,101.98275605729684,101.98275605729684
ARA*,Path cost,3.0,117.19595949289324,117.1959594928932,4.2847339127798087e-14,117.1959594928932,117.1959594928932
ARA*,Path cost,4.0,141.19595949289334,141.1959594928933,2.856489275186539e-14,141.1959594928933,141.1959594928933
ARA*,Path cost,5.0,165.1959594928933,165.19595949289334,2.856489275186539e-14,165.19595949289334,165.19595949289334
ARA*,Path cost,6.0,189.19595949289342,189.19595949289348,5.712978550373078e-14,189.19595949289348,189.19595949289348
ARA*,Path cost,7.0,213.19595949289348,213.19595949289356,8.569467825559617e-14,213.19595949289356,213.19595949289356
RTAA**,Path cost,1.0,124.81118318204295,124.811183182043,4.2847339127798087e-14,124.811183182043,124.811183182043
RTAA**,Path cost,2.0,150.95331880577405,150.95331880577407,2.856489275186539e-14,150.95331880577407,150.95331880577407
RTAA**,Path cost,3.0,177.48023074035535,177.48023074035532,2.856489275186539e-14,177.48023074035532,177.48023074035532
RTAA**,Path cost,4.0,192.99494936611686,192.99494936611688,2.856489275186539e-14,192.99494936611688,192.99494936611688
RTAA**,Path cost,5.0,207.33809511662457,207.3380951166245,8.569467825559617e-14,207.3380951166245,207.3380951166245
RTAA**,Path cost,6.0,205.4386001800127,205.4386001800128,8.569467825559617e-14,205.4386001800128,205.4386001800128
RTAA**,Path cost,7.0,219.0954544295052,219.0954544295052,0.0,219.0954544295052,219.0954544295052
LRTA*,Path cost,1.0,121.68124086713178,121.68124086713178,0.0,121.68124086713178,121.68124086713178
LRTA*,Path cost,2.0,159.13708498984766,159.13708498984764,2.856489275186539e-14,159.13708498984764,159.13708498984764
LRTA*,Path cost,3.0,159.5807358037436,159.58073580374358,2.856489275186539e-14,159.58073580374358,159.58073580374358
LRTA*,Path cost,4.0,200.1076477383249,200.10764773832497,5.712978550373078e-14,200.10764773832497,200.10764773832497
LRTA*,Path cost,5.0,232.1492782986679,232.14927829866784,5.712978550373078e-14,232.14927829866784,232.14927829866784
LRTA*,Path cost,6.0,247.36248173426426,247.36248173426424,2.856489275186539e-14,247.36248173426424,247.36248173426424
LRTA*,Path cost,7.0,299.8061325481604,299.80613254816035,5.712978550373078e-14,299.80613254816035,299.80613254816035
D*,Path cost,1.0,89.69848480983497,89.69848480983497,0.0,89.69848480983497,89.69848480983497
D*,Path cost,2.0,101.98275605729687,101.98275605729684,2.856489275186539e-14,101.98275605729684,101.98275605729684
D*,Path cost,3.0,117.1959594928933,117.19595949289322,7.141223187966347e-14,117.19595949289322,117.19595949289322
D*,Path cost,4.0,141.19595949289328,141.19595949289322,5.712978550373078e-14,141.19595949289322,141.19595949289322
D*,Path cost,5.0,165.1959594928933,165.1959594928933,0.0,165.1959594928933,165.1959594928933
D*,Path cost,6.0,189.19595949289342,189.19595949289345,2.856489275186539e-14,189.19595949289345,189.19595949289345
D*,Path cost,7.0,213.19595949289342,213.19595949289348,5.712978550373078e-14,213.19595949289348,213.19595949289348
D* Lite,Path cost,1.0,88.52691193458114,88.52691193458115,1.4282446375932695e-14,88.52691193458115,88.52691193458115
D* Lite,Path cost,2.0,100.81118318204297,100.811183182043,2.856489275186539e-14,100.811183182043,100.811183182043
D* Lite,Path cost,3.0,113.0954544295049,113.09545442950488,1.4282446375932695e-14,113.09545442950488,113.09545442950488
D* Lite,Path cost,4.0,134.16652224137033,134.16652224137033,0.0,134.16652224137033,134.16652224137033
D* Lite,Path cost,5.0,158.16652224137042,158.16652224137044,2.856489275186539e-14,158.16652224137044,158.16652224137044
D* Lite,Path cost,6.0,182.16652224137067,182.1665222413706,8.569467825559617e-14,182.1665222413706,182.1665222413706
D* Lite,Path cost,7.0,206.1665222413707,206.1665222413706,1.1425957100746156e-13,206.1665222413706,206.1665222413706
LPA*,Path cost,1.0,89.69848480983497,89.69848480983497,0.0,89.69848480983497,89.69848480983497
LPA*,Path cost,2.0,101.98275605729687,101.98275605729684,2.856489275186539e-14,101.98275605729684,101.98275605729684
LPA*,Path cost,3.0,117.1959594928933,117.19595949289322,7.141223187966347e-14,117.19595949289322,117.19595949289322
LPA*,Path cost,4.0,141.19595949289334,141.1959594928933,2.856489275186539e-14,141.1959594928933,141.1959594928933
LPA*,Path cost,5.0,165.19595949289345,165.1959594928934,5.712978550373078e-14,165.1959594928934,165.1959594928934
LPA*,Path cost,6.0,189.19595949289342,189.19595949289348,5.712978550373078e-14,189.19595949289348,189.19595949289348
LPA*,Path cost,7.0,213.19595949289348,213.19595949289356,8.569467825559617e-14,213.19595949289356,213.19595949289356
ARA*,Memory Allocation (KB),1.0,626.40625,626.40625,0.0,626.40625,626.40625
ARA*,Memory Allocation (KB),2.0,520.59375,520.59375,0.0,520.59375,520.59375
ARA*,Memory Allocation (KB),3.0,536.609375,536.609375,0.0,536.609375,536.609375
ARA*,Memory Allocation (KB),4.0,556.03125,556.03125,0.0,556.03125,556.03125
ARA*,Memory Allocation (KB),5.0,494.1015625,494.1015625,0.0,494.1015625,494.1015625
ARA*,Memory Allocation (KB),6.0,491.390625,491.390625,0.0,491.390625,491.390625
ARA*,Memory Allocation (KB),7.0,478.9375,478.9375,0.0,478.9375,478.9375
RTAA**,Memory Allocation (KB),1.0,400.44921875,400.44921875,0.0,400.44921875,400.44921875
RTAA**,Memory Allocation (KB),2.0,443.33984375,443.33984375,0.0,443.33984375,443.33984375
RTAA**,Memory Allocation (KB),3.0,454.79296875,454.79296875,0.0,454.79296875,454.79296875
RTAA**,Memory Allocation (KB),4.0,513.03515625,513.03515625,0.0,513.03515625,513.03515625
RTAA**,Memory Allocation (KB),5.0,484.00390625,484.00390625,0.0,484.00390625,484.00390625
RTAA**,Memory Allocation (KB),6.0,525.39453125,525.39453125,0.0,525.39453125,525.39453125
RTAA**,Memory Allocation (KB),7.0,494.80078125,494.80078125,0.0,494.80078125,494.80078125
LRTA*,Memory Allocation (KB),1.0,345.76171875,345.76171875,0.0,345.76171875,345.76171875
LRTA*,Memory Allocation (KB),2.0,381.98046875,381.98046875,0.0,381.98046875,381.98046875
