Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
1,51,-,173.35533905932743,11310,1,0.28515625,0.06504535675048828
1,52,-,54.14213562373095,906,1,0.0,0.0
1,53,-,83.35533905932735,2760,1,0.0,0.0
1,54,-,259.85281374238593,29088,1,1.24609375,0.1849820613861084
1,55,-,121.74011537017753,5698,1,-0.48046875,0.031759023666381836
1,56,-,170.4974746830584,10116,1,0.484375,0.04842972755432129
1,57,-,316.39191898578724,48154,1,2.42578125,0.2569923400878906
1,58,-,179.25483399593918,14296,1,0.42578125,0.07271242141723633
1,59,-,183.53910524340108,13002,1,1.08984375,0.06463623046875
1,60,-,85.11269837220806,4314,1,0.05859375,0.031952619552612305
1,61,-,277.4386001800128,28644,1,0.8671875,0.2028486728668213
1,62,-,112.15432893255064,5686,1,0.3828125,0.0319819450378418
1,63,-,195.61017305526659,21440,1,1.2890625,0.09662103652954102
1,64,-,288.1959594928936,24708,1,0.5859375,0.13263416290283203
1,65,-,279.17871555019076,38530,1,0.83984375,0.18290281295776367
1,66,-,294.0538238691626,30044,1,2.2734375,0.15994763374328613
1,67,-,76.6274169979695,1774,1,0.10546875,0.0
1,68,-,169.63961030678928,12710,1,0.80078125,0.07097959518432617
1,69,-,250.76450198781754,26798,1,1.35546875,0.1526477336883545
1,70,-,47.72792206135785,638,1,0.01953125,0.0
1,71,-,200.40916292848996,19702,1,0.890625,0.10361123085021973
1,72,-,65.52691193458116,1766,1,0.0,0.008112668991088867
1,73,-,206.98275605729697,17284,1,0.0,0.09670782089233398
1,74,-,90.45584412271567,3496,1,0.0,0.016163110733032227
1,75,-,119.56854249492373,6966,1,0.0,0.04023098945617676
1,76,-,355.60512242138384,53988,1,1.6328125,0.2632873058319092
1,77,-,114.08326112068517,5242,1,0.2109375,0.019205331802368164
1,78,-,15.65685424949238,92,1,0.0,0.0
1,79,-,241.2964645562819,20976,1,0.98046875,0.10270929336547852
1,80,-,226.1665222413707,21766,1,0.0,0.12067937850952148
1,81,-,93.0121933088197,3480,1,0.2421875,0.024117231369018555
1,82,-,126.29646455628156,7428,1,0.2265625,0.05653858184814453
1,83,-,70.11269837220807,1768,1,0.0,0.008830547332763672
1,84,-,173.02438661763955,11652,1,0.1953125,0.06453824043273926
1,85,-,217.30865786510174,23446,1,0.84375,0.12924551963806152
1,86,-,109.35533905932733,5006,1,0.39453125,0.03230142593383789
1,87,-,249.20815280171348,30324,1,1.703125,0.16041088104248047
1,88,-,282.72287142747484,30896,1,2.2578125,0.16878747940063477
1,89,-,450.7594513539351,92490,1,6.953125,0.49868083000183105
1,90,-,196.1837661840736,11080,1,0.00390625,0.07046842575073242
1,91,-,247.15432893255092,23002,1,1.55859375,0.12116742134094238
1,92,-,331.9360748630714,43086,1,3.48046875,0.2324538230895996
1,93,-,345.97770542341414,55284,1,3.640625,0.28800272941589355
1,94,-,81.94112549695424,2936,1,0.0,0.012614250183105469
1,95,-,118.84062043356587,5738,1,0.0,0.03127169609069824
1,96,-,269.1959594928935,30686,1,1.48046875,0.1604914665222168
1,97,-,20.07106781186548,158,1,0.0,0.0
1,98,-,80.0416305603426,1814,1,0.10546875,0.015932559967041016
1,99,-,87.42640687119281,3224,1,0.0,0.016192913055419922
1,100,-,19.071067811865476,216,1,0.0,0.0
