Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
1,42,10,208.10764773832506,576,58,5.00390625,0.06629490852355957
1,43,10,336.38686835190447,550,55,5.00390625,0.06214118003845215
1,44,10,82.254833995939,184,19,5.00390625,0.050911903381347656
1,45,10,179.29646455628185,350,35,5.00390625,0.04411482810974121
1,46,10,160.62236636408625,263,27,5.00390625,0.06436467170715332
1,47,10,337.50461735799547,830,83,5.00390625,0.0621337890625
1,48,10,11.071067811865477,21,3,5.00390625,0.033213138580322266
1,49,10,126.92388155425105,227,23,5.00390625,0.04950094223022461
1,50,10,127.16652224137033,182,19,5.00390625,0.034155845642089844
1,51,10,178.55129855222083,437,44,5.00390625,0.046196937561035156
1,52,10,58.18376618407354,129,13,5.00390625,0.0602114200592041
1,53,10,82.32590180780447,150,15,5.00390625,0.05230307579040527
1,54,10,264.80613254816024,648,65,5.00390625,0.04231548309326172
1,55,10,117.43860018001251,229,23,5.00390625,0.04635119438171387
1,56,10,182.82337649086296,466,47,5.00390625,0.0592503547668457
1,57,10,293.20310216783054,470,47,5.00390625,0.036400794982910156
1,58,10,184.75230867899748,446,45,5.00390625,0.04958510398864746
1,59,10,184.06601717798225,393,40,5.00390625,0.0673978328704834
1,60,10,72.56854249492376,108,11,5.00390625,0.04243636131286621
1,61,10,288.04877323527967,727,73,5.00390625,0.06256914138793945
1,62,10,99.02438661763941,157,16,5.00390625,0.08963894844055176
1,63,10,186.7645019878173,325,33,5.00390625,0.053389787673950195
1,64,10,300.2203461105335,725,73,5.00390625,0.0667715072631836
1,65,10,262.33304448274157,456,46,5.00390625,0.06360578536987305
1,66,10,321.2325394193534,863,87,5.00390625,0.06424593925476074
1,67,10,81.74011537017756,246,25,5.00390625,0.04362010955810547
1,68,10,164.7523086789974,299,30,5.00390625,0.04925727844238281
1,69,10,232.26197667087598,362,37,5.00390625,0.05202603340148926
1,70,10,49.04163056034261,107,11,5.00390625,0.04319024085998535
1,71,10,184.8355697996828,289,29,5.00390625,0.0643620491027832
1,72,10,60.254833995939,105,11,5.00390625,0.057848215103149414
1,73,10,212.76450198781743,499,50,5.00390625,0.049121856689453125
1,74,10,88.15432893255065,181,19,5.00390625,0.047013282775878906
1,75,10,107.8528137423856,156,16,5.00390625,0.04742550849914551
1,76,10,335.1442276647851,529,53,5.00390625,0.035628557205200195
1,77,10,106.95331880577395,171,18,5.00390625,0.0429987907409668
1,78,10,15.313708498984763,34,4,5.00390625,0.03617978096008301
1,79,10,256.39191898578713,634,64,5.00390625,0.04676198959350586
1,80,10,222.35028842544432,389,39,5.00390625,0.05912518501281738
1,81,10,83.63961030678921,150,15,5.00390625,0.04296994209289551
1,82,10,116.92388155425105,196,20,5.00390625,0.039991140365600586
1,83,10,66.59797974644663,105,11,5.00390625,0.04545426368713379
1,84,10,164.96551211459382,278,28,5.00390625,0.05934786796569824
1,85,10,203.97770542341385,348,35,5.00390625,0.031343698501586914
1,86,10,106.81118318204301,220,22,5.00390625,0.04299783706665039
1,87,10,226.60512242138353,363,37,5.00390625,0.04951357841491699
1,88,10,284.94826817189136,556,56,5.00390625,0.05138397216796875
1,89,10,419.02647865869426,687,69,5.00390625,0.05227303504943848
1,90,10,211.13708498984786,568,57,5.00390625,0.06379294395446777
1,91,10,252.79393923934038,577,58,5.00390625,0.04494500160217285
1,92,10,333.23253941935343,657,66,5.00390625,0.050843238830566406
1,93,10,328.8305191658003,612,62,5.00390625,0.05041646957397461
1,94,10,80.91168824543138,162,17,5.00390625,0.050676584243774414
