Experiment,Grid,lookahead,Path cost,Number of expanded nodes,Number of searches,Memory consumption (MB),Execution time (s)
3,32,30,239.3624817342642,1184,40,5.00390625,0.698244571685791
3,33,30,215.42135623730974,1133,38,5.00390625,0.751356840133667
3,34,30,206.63455967290616,848,29,5.00390625,0.5680418014526367
3,35,30,203.17871555019042,867,29,5.00390625,0.4847240447998047
3,36,30,335.1442276647851,1679,56,5.00390625,0.9536921977996826
3,37,30,36.62741699796953,130,5,5.00390625,0.15746068954467773
3,38,30,241.0193359837567,1094,37,5.00390625,0.7048380374908447
3,39,30,211.56349186104077,1135,38,5.00390625,0.6101057529449463
3,40,30,172.7645019878172,425,15,5.00390625,0.31289076805114746
3,41,30,179.07821048680205,347,12,5.00390625,0.2664034366607666
3,42,30,213.3208511739215,1249,42,5.00390625,0.7975184917449951
3,43,30,347.2569260369934,888,30,5.00390625,0.5012612342834473
3,44,30,87.12489168102778,504,17,5.00390625,0.40806078910827637
3,45,30,195.96551211459396,940,32,5.00390625,0.46884870529174805
3,46,30,160.8650070512055,448,15,5.00390625,0.29267024993896484
3,47,30,356.17366491630787,1942,65,5.00390625,1.0163509845733643
3,48,30,11.071067811865477,31,2,5.00390625,0.12188220024108887
3,49,30,133.8944443027282,435,15,5.00390625,0.3067891597747803
3,50,30,129.89444430272817,390,13,5.00390625,0.32631373405456543
3,51,30,189.07821048680213,955,32,5.00390625,0.5372829437255859
3,52,30,55.941125496954264,228,8,5.00390625,0.2057936191558838
3,53,30,87.29646455628159,378,13,5.00390625,0.28397345542907715
3,54,30,281.85995641732285,1507,51,5.00390625,0.9116735458374023
3,55,30,117.68124086713179,389,13,5.00390625,0.3130779266357422
3,56,30,192.7645019878173,1134,38,5.00390625,0.7174391746520996
3,57,30,302.9015869776657,890,30,5.00390625,0.5379323959350586
3,58,30,198.24978336205598,1083,37,5.00390625,0.5993099212646484
3,59,30,194.4924240491752,1008,34,5.00390625,0.6509537696838379
3,60,30,74.22539674441613,162,6,5.00390625,0.1880662441253662
3,61,30,309.4457428549498,1733,58,5.00390625,0.9450302124023438
3,62,30,103.2670273047587,285,10,5.00390625,0.22963690757751465
3,63,30,195.1492782986676,618,21,5.00390625,0.3944847583770752
3,64,30,312.64675298172637,1572,53,5.00390625,0.8221054077148438
3,65,30,256.9604614807111,500,17,5.00390625,0.36992383003234863
3,66,30,327.2741699796961,1606,54,4.953125,0.8589379787445068
3,67,30,82.32590180780446,355,12,5.00390625,0.2804222106933594
3,68,30,176.35028842544406,798,27,5.00390625,0.5222070217132568
3,69,30,236.64675298172625,558,19,5.00390625,0.4190497398376465
3,70,30,49.8700576850888,167,6,5.00390625,0.1833021640777588
3,71,30,184.3919189857868,384,13,5.00390625,0.2991018295288086
3,72,30,58.49747468305829,98,4,5.00390625,0.16751599311828613
3,73,30,219.04877323527933,1113,38,5.00390625,0.5960428714752197
3,74,30,90.05382386916231,380,13,5.00390625,0.3294188976287842
3,75,30,104.09545442950488,166,6,5.00390625,0.21367740631103516
3,76,30,342.4995667241127,976,33,5.00390625,0.5652585029602051
3,77,30,109.43860018001251,338,12,5.00390625,0.29207563400268555
3,78,30,14.727922061357859,41,2,5.00390625,0.1277015209197998
3,79,30,263.64675298172625,1493,50,5.00390625,1.0040183067321777
3,80,30,237.8477631085029,1227,41,5.00390625,0.708364725112915
3,81,30,89.29646455628159,250,9,5.00390625,0.07313370704650879
3,82,30,118.33809511662415,226,8,5.00390625,0.08806133270263672
3,83,30,70.25483399593901,289,10,5.00390625,0.09447002410888672
3,84,30,172.66399692442891,611,21,5.00390625,0.1444847583770752
3,85,30,205.87720036002557,462,16,5.00390625,0.1356201171875
3,86,30,110.71067811865467,554,19,5.00390625,0.15680932998657227
3,87,30,221.91883092036832,393,14,5.00390625,0.12839961051940918
3,88,30,308.5878784786809,1375,46,5.00390625,0.2907240390777588
3,89,30,414.13917703090243,894,30,5.00390625,0.20697760581970215
3,90,30,224.14927829866775,1190,40,5.00390625,0.28475141525268555
3,91,30,275.98989873223394,1636,55,5.00390625,0.3392796516418457
3,92,30,358.77164466275474,1667,56,5.00390625,0.37328457832336426
3,93,30,336.872149726143,1057,36,5.00390625,0.28105998039245605
3,94,30,85.8822509939085,291,10,5.00390625,0.10430693626403809
3,95,30,114.19595949289322,385,13,5.00390625,0.15994882583618164
3,96,30,296.17366491630776,1604,54,5.00390625,0.3773307800292969
3,97,30,18.89949493661167,40,2,5.00390625,0.048084259033203125
3,98,30,84.56854249492376,343,12,5.00390625,0.1043548583984375
3,99,30,84.8822509939085,243,9,5.00390625,0.09593987464904785
3,100,30,17.313708498984763,59,2,5.00390625,0.03905510902404785
4,1,40,247.43354954612983,1548,39,5.00390625,0.3755199909210205
4,2,40,201.4213562373098,1142,29,5.00390625,0.2824859619140625
4,3,40,155.20815280171306,555,14,5.00390625,0.14792299270629883
4,4,40,177.00714267493652,702,18,5.00390625,0.21798419952392578
4,5,40,282.1025971044422,1100,28,5.00390625,0.36498022079467773
4,6,40,186.10764773832494,1304,33,5.00390625,0.31532907485961914
4,7,40,124.2375900532358,304,8,5.00390625,0.11820340156555176
4,8,40,84.39696961966995,459,12,5.00390625,0.1248178482055664
4,9,40,223.97770542341397,1500,38,5.00390625,0.3474235534667969
4,10,40,102.02438661763941,506,13,5.00390625,0.15673422813415527
4,11,40,128.33809511662417,799,20,5.00390625,0.20437836647033691
4,12,40,263.6467529817263,1332,34,5.00390625,0.3079667091369629
4,13,40,174.2792206135787,1087,28,5.00390625,0.2829430103302002
4,14,40,135.7228714274744,573,15,5.00390625,0.1578388214111328
4,15,40,144.13708498984752,441,12,5.00390625,0.1427905559539795
4,16,40,175.27922061357867,1147,29,5.00390625,0.2842276096343994
4,17,40,287.8599564173229,1301,33,5.00390625,0.30022573471069336
4,18,40,237.16147160748767,970,25,5.00390625,0.2827792167663574
4,19,40,213.04877323527938,873,22,5.00390625,0.25049328804016113
4,20,40,254.06096654409944,704,18,5.00390625,0.1891794204711914
4,21,40,199.14927829866758,1050,27,5.00390625,0.27579545974731445
4,22,40,150.79393923933998,1118,28,5.00390625,0.31006407737731934
4,23,40,233.46298679765255,1298,33,5.00390625,0.3468501567840576
4,24,40,135.95331880577396,759,19,5.00390625,0.21126461029052734
4,25,40,225.19090885901036,769,20,5.00390625,0.21885442733764648
4,26,40,279.98989873223394,1472,37,5.00390625,0.8345141410827637
4,27,40,269.8893936688457,1227,31,5.00390625,0.7283616065979004
4,28,40,289.03152929257675,996,25,5.00390625,0.661247968673706
4,29,40,331.80108191427746,1503,38,5.00390625,0.923659086227417
4,30,40,131.16652224137036,778,20,5.00390625,0.48288464546203613
4,31,40,113.09545442950487,685,18,5.00390625,0.47394776344299316
4,32,40,236.53405460951797,1322,34,5.00390625,0.8670246601104736
4,33,40,215.76450198781728,1228,31,5.00390625,0.7263543605804443
4,34,40,207.80613254816004,888,23,5.00390625,0.5550024509429932
4,35,40,207.66399692442903,1298,33,5.00390625,0.7098052501678467
4,36,40,333.58787847868086,1877,47,5.00390625,1.2609097957611084
4,37,40,35.798989873223334,101,3,5.00390625,0.1412217617034912
4,38,40,245.60512242138353,1333,34,5.00390625,0.9136958122253418
4,39,40,213.07821048680222,1340,34,5.00390625,0.7649068832397461
4,40,40,178.42135623730962,508,13,5.00390625,0.3322889804840088
4,41,40,184.49242404917513,468,12,5.00390625,0.36239099502563477
4,42,40,206.93607486307113,1217,31,5.00390625,0.870356559753418
4,43,40,332.4284989122471,955,24,5.00390625,0.6307475566864014
4,44,40,80.49747468305829,397,10,5.00390625,0.28044652938842773
4,45,40,193.13708498984784,1098,28,5.00390625,0.7059767246246338
4,46,40,162.27922061357856,549,14,5.00390625,0.39586973190307617
4,47,40,353.58787847868115,2194,55,5.00390625,1.287809133529663
4,48,40,11.071067811865476,31,1,5.00390625,0.09327244758605957
4,49,40,131.6518036156089,546,14,5.00390625,0.37825798988342285
4,50,40,135.89444430272817,493,13,5.00390625,0.39438462257385254
4,51,40,187.07821048680205,1226,31,5.00390625,0.7637600898742676
4,52,40,56.76955262170045,257,7,5.00390625,0.23688411712646484
4,53,40,87.05382386916231,429,11,5.00390625,0.32065820693969727
4,54,40,285.0315292925767,1888,48,5.00390625,1.1494035720825195
4,55,40,126.75230867899724,594,15,5.00390625,0.4248619079589844
4,56,40,190.5218613006981,1339,34,5.00390625,0.8995363712310791
4,57,40,301.00209204105397,984,25,5.00390625,0.631495475769043
4,58,40,202.59292911256355,1375,35,5.00390625,0.8736789226531982
4,59,40,190.3502884254442,917,23,5.00390625,0.6130738258361816
4,60,40,73.39696961966995,195,5,5.00390625,0.21372461318969727
4,61,40,303.5462479183381,2077,52,5.00390625,1.4423408508300781
4,62,40,98.43860018001251,234,6,5.00390625,0.25946664810180664
4,63,40,184.66399692442891,712,18,5.00390625,0.5491580963134766
4,64,40,318.6883835420693,2179,55,5.00390625,1.3785371780395508
4,65,40,256.8599564173228,731,19,5.00390625,0.4922828674316406
4,66,40,330.587878478681,2268,57,5.00390625,1.6059839725494385
4,67,40,80.0832611206852,437,11,5.00390625,0.3140988349914551
4,68,40,177.52186130069796,946,24,5.00390625,0.6459083557128906
4,69,40,239.57568516986078,735,19,5.00390625,0.5336370468139648
4,70,40,50.698484809834994,226,6,5.00390625,0.21384191513061523
4,71,40,184.39191898578682,502,13,5.00390625,0.4258301258087158
4,72,40,63.32590180780447,189,5,5.00390625,0.18843436241149902
4,73,40,218.22034611053317,1186,30,5.00390625,0.7827315330505371
4,74,40,89.81118318204304,423,11,5.00390625,0.3305222988128662
4,75,40,110.09545442950488,385,10,5.00390625,0.3222818374633789
4,76,40,343.0853531617396,1097,28,5.00390625,0.7200617790222168
4,77,40,113.09545442950487,472,12,5.00390625,0.3294641971588135
4,78,40,14.727922061357859,48,2,5.00390625,0.1094048023223877
4,79,40,259.2619766708759,1533,39,5.00390625,1.0414867401123047
4,80,40,232.04877323527938,1107,28,5.00390625,0.7692089080810547
4,81,40,90.12489168102778,307,8,5.00390625,0.26668357849121094
4,82,40,119.99494936611651,299,8,5.00390625,0.2769589424133301
4,83,40,72.01219330881973,348,9,5.00390625,0.2513446807861328
4,84,40,165.69343417595164,537,14,5.00390625,0.3782021999359131
4,85,40,202.70562748477175,593,15,5.00390625,0.40857529640197754
4,86,40,114.12489168102776,594,15,5.00390625,0.42621564865112305
4,87,40,231.81832585698004,666,17,5.00390625,0.4378671646118164
4,88,40,298.54624791833805,1555,39,5.00390625,0.9060049057006836
4,89,40,421.79603128039486,1179,30,5.00390625,0.757601261138916
4,90,40,219.42135623730988,1253,32,5.00390625,0.7998819351196289
4,91,40,285.20310216783054,2182,55,5.00390625,1.39695143699646
4,92,40,354.18585822512784,1989,50,5.00390625,1.3220601081848145
