Algorithm,Metric,s/g distance,Mean,Median,Standard Deviation,Minimum,Maximum
D* Lite,Path cost,28.284271247461906,29.74873734152918,29.74873734152917,0.47465536442744405,28.870057685088817,30.62741699796953
LPA*,Path cost,420.0214280248092,492.87315985291985,492.7802666341065,2.71845620335221,488.5584412271586,496.7594513539352
LPA*,Path cost,339.4112549695428,399.81416280094635,398.98989873223434,2.030822764995178,396.9604614807116,403.7472580451151
LPA*,Path cost,254.55844122715712,300.55100269293825,300.19953083036216,3.5321985747808227,295.5634918610411,305.6639969244293
LPA*,Path cost,169.7056274847714,202.16235918533647,201.75230867899762,1.923246296108499,199.23759005323612,205.6812408671321
LPA*,Path cost,84.8528137423857,102.31757569573598,102.66904755831207,2.2853655487922397,98.32590180780446,105.74011537017752
LPA*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.174463855149164,32.38477631085024,39.31370849898477
A*,Memory Allocation (KB),420.0214280248092,9551.066015625,9584.451171875,243.25299141613968,9208.48046875,9844.39453125
A*,Memory Allocation (KB),339.4112549695428,6842.198828125,6847.146484375,180.0615223379126,6411.38671875,7161.8125
A*,Memory Allocation (KB),254.55844122715712,4206.06484375,4331.1171875,446.17501035864166,3309.1953125,4636.7421875
A*,Memory Allocation (KB),169.7056274847714,1833.45390625,1697.046875,230.92599382464533,1563.2265625,2204.7265625
A*,Memory Allocation (KB),84.8528137423857,473.2822265625,476.7890625,63.12495272810423,397.8828125,552.578125
A*,Memory Allocation (KB),28.284271247461906,62.44453125,54.69140625,18.09863862604591,41.3515625,109.703125
ARA*,Memory Allocation (KB),420.0214280248092,13620.055078125,13656.982421875,159.87838850826626,13355.48828125,13813.94921875
ARA*,Memory Allocation (KB),339.4112549695428,9541.946875,9546.126953125,116.89975516307175,9254.84375,9695.15234375
ARA*,Memory Allocation (KB),254.55844122715712,7727.028125,7727.05859375,188.32787397783136,7414.3515625,7995.15625
ARA*,Memory Allocation (KB),169.7056274847714,2748.87265625,2485.1953125,369.30138182722885,2401.109375,3304.6640625
ARA*,Memory Allocation (KB),84.8528137423857,740.882158203125,803.99609375,98.16467854474801,607.328125,840.4423828125
ARA*,Memory Allocation (KB),28.284271247461906,86.36640625,83.6015625,19.99884598610438,64.5234375,132.765625
RTAA**,Memory Allocation (KB),420.0214280248092,13004.689453125,13006.669921875,38.833470995586204,12959.56640625,13096.5625
RTAA**,Memory Allocation (KB),339.4112549695428,12879.47578125,12881.375,38.701237521732835,12817.3515625,12962.49609375
RTAA**,Memory Allocation (KB),254.55844122715712,12791.31953125,12800.93359375,34.38836482077559,12724.84375,12836.2734375
RTAA**,Memory Allocation (KB),169.7056274847714,12691.3234375,12684.48828125,28.852400915846566,12660.4375,12750.3515625
RTAA**,Memory Allocation (KB),84.8528137423857,12581.39296875,12583.39453125,12.327078142963645,12560.0546875,12604.703125
RTAA**,Memory Allocation (KB),28.284271247461906,12518.5234375,12518.828125,2.667190153584923,12513.61328125,12522.60546875
LRTA*,Memory Allocation (KB),420.0214280248092,12825.73671875,12814.58984375,41.59688402508881,12764.734375,12905.125
LRTA*,Memory Allocation (KB),339.4112549695428,12739.709375,12735.67578125,36.75555101614334,12689.390625,12817.015625
