Algorithm,Metric,Obstacle Density,Mean,Median,Standard Deviation,Minimum,Maximum
RTAA**,Memory Allocation (KB),0.4000000000000001,12816.17578125,12815.78515625,38.4961625815302,12751.37109375,12883.58203125
LRTA*,Memory Allocation (KB),0.1,12679.394817708333,12678.97265625,11.330259614256837,12662.29296875,12703.06640625
LRTA*,Memory Allocation (KB),0.15,12703.97734375,12703.19921875,21.99994445775213,12672.17578125,12746.00390625
LRTA*,Memory Allocation (KB),0.2,12730.471875,12725.45703125,24.44983508817985,12703.01953125,12780.05078125
LRTA*,Memory Allocation (KB),0.25,12745.1640625,12745.6328125,25.322297176242053,12713.01953125,12788.81640625
LRTA*,Memory Allocation (KB),0.3,12795.1171875,12780.98046875,53.88111000067487,12712.63671875,12898.82421875
LRTA*,Memory Allocation (KB),0.3500000000000001,12813.92734375,12791.0,53.432997159822065,12759.67578125,12932.30078125
LRTA*,Memory Allocation (KB),0.4000000000000001,12827.85390625,12818.82421875,70.1539848324923,12722.73828125,12937.87109375
D* Lite,Memory Allocation (KB),0.1,408.3659375,419.80078125,37.4777153296796,354.73046875,553.87890625
D* Lite,Memory Allocation (KB),0.15,690.40859375,833.84765625,215.2796994804978,409.37109375,906.33984375
D* Lite,Memory Allocation (KB),0.2,841.60625,886.2109375,137.2281396417871,435.50390625,911.51953125
D* Lite,Memory Allocation (KB),0.25,871.27890625,914.65625,158.6879756297241,414.62890625,1001.95703125
D* Lite,Memory Allocation (KB),0.3,966.91328125,965.7578125,59.09280917743254,822.48828125,1024.77734375
D* Lite,Memory Allocation (KB),0.3500000000000001,1000.8203125,1003.5859375,34.391501326280924,935.92578125,1054.25390625
D* Lite,Memory Allocation (KB),0.4000000000000001,1043.1,1032.0546875,74.25028476420138,940.78515625,1187.26953125
LPA*,Memory Allocation (KB),0.1,1173.6006510416667,1168.30859375,49.00096049947083,1106.234375,1293.9140625
LPA*,Memory Allocation (KB),0.15,1356.234375,1372.77734375,52.604429850771595,1247.46875,1417.1875
LPA*,Memory Allocation (KB),0.2,1447.40859375,1435.9296875,50.17796819552972,1391.4453125,1549.28125
LPA*,Memory Allocation (KB),0.25,1788.2921875,1451.23046875,686.6761499690218,1401.140625,3173.3515625
LPA*,Memory Allocation (KB),0.3,1785.4640625,1461.67578125,689.987005710322,1356.5078125,3190.03125
LPA*,Memory Allocation (KB),0.3500000000000001,2144.84765625,1483.71875,904.883674370893,1241.5859375,3354.6328125
LPA*,Memory Allocation (KB),0.4000000000000001,2083.37828125,1384.7890625,1124.2395319600369,874.3125,3803.6640625
ARA*,Number of expanded nodes,0.1,34996.1,34882.0,947.973100884197,33599.0,36814.0
ARA*,Number of expanded nodes,0.15,36898.0,37228.0,1069.4206852341547,34802.0,38204.0
ARA*,Number of expanded nodes,0.2,37049.0,36649.0,1224.746591767792,35890.0,40042.0
ARA*,Number of expanded nodes,0.25,36782.4,35313.5,3234.7771045912823,34096.0,43848.0
ARA*,Number of expanded nodes,0.3,36921.3,35500.5,4998.501776535989,31564.0,50106.0
ARA*,Number of expanded nodes,0.3500000000000001,44224.9,40254.0,12856.056189951774,29057.0,75782.0
ARA*,Number of expanded nodes,0.4000000000000001,63019.1,53751.5,34025.58528131126,25671.0,124662.0
RTAA**,Number of expanded nodes,0.1,3534.0,3603.5,453.0035770307731,2676.0,4205.0
RTAA**,Number of expanded nodes,0.15,4000.6,3928.0,627.745799904435,2896.0,5000.0
RTAA**,Number of expanded nodes,0.2,4308.8,4457.0,859.6608337966081,3169.0,5935.0
RTAA**,Number of expanded nodes,0.25,4166.2,4423.5,745.4171420882831,2694.0,5151.0
RTAA**,Number of expanded nodes,0.3,4203.8,4269.0,367.7624105797811,3425.0,4717.0
RTAA**,Number of expanded nodes,0.3500000000000001,3987.2,3901.5,463.0530066380324,3244.0,4881.0
RTAA**,Number of expanded nodes,0.4000000000000001,3613.1,3618.0,600.3909178032276,2612.0,4660.0
LRTA*,Number of expanded nodes,0.1,1085.9,1084.5,219.58372748891574,741.0,1499.0
LRTA*,Number of expanded nodes,0.15,1576.1,1544.5,357.39005138564147,1039.0,2266.0
LRTA*,Number of expanded nodes,0.2,2076.8,1978.5,394.5059481729176,1618.0,2878.0
LRTA*,Number of expanded nodes,0.25,2353.5,2338.5,387.84463582530253,1860.0,3006.0
LRTA*,Number of expanded nodes,0.3,3170.8,2968.0,863.6095364446408,1840.0,4856.0
LRTA*,Number of expanded nodes,0.3500000000000001,3503.1,3137.0,809.9477810493439,2681.0,5271.0
LRTA*,Number of expanded nodes,0.4000000000000001,3753.8,3605.0,1070.709088957994,2160.0,5449.0
D* Lite,Number of expanded nodes,0.1,3404.7,3554.5,688.9043285631492,2376.0,4395.0
D* Lite,Number of expanded nodes,0.15,4907.1,5032.5,552.4097014543368,3650.0,5681.0
D* Lite,Number of expanded nodes,0.2,5968.0,6174.5,608.2288558898894,4906.0,6658.0
D* Lite,Number of expanded nodes,0.25,6764.5,6782.0,1053.7906968539435,4791.0,8446.0
D* Lite,Number of expanded nodes,0.3,7947.2,7942.5,1082.2975190456834,5313.0,9125.0
D* Lite,Number of expanded nodes,0.3500000000000001,8701.7,8802.0,612.5631303210816,7564.0,9643.0
D* Lite,Number of expanded nodes,0.4000000000000001,9578.9,9364.5,1357.4718866617177,7688.0,12207.0
LPA*,Number of expanded nodes,0.1,11354.3,11274.5,913.2643552710769,10053.0,13128.0
LPA*,Number of expanded nodes,0.15,15039.5,15350.5,981.5817468517374,12998.0,16161.0
LPA*,Number of expanded nodes,0.2,16912.9,16704.0,939.9588103834079,15920.0,18816.0
LPA*,Number of expanded nodes,0.25,17702.6,17134.0,1462.8668787749357,16259.0,20596.0
LPA*,Number of expanded nodes,0.3,17888.8,17464.5,1541.7523453247545,15492.0,20963.0
LPA*,Number of expanded nodes,0.3500000000000001,19194.0,18340.5,3109.1733945414517,13987.0,24448.0
LPA*,Number of expanded nodes,0.4000000000000001,17766.5,16658.5,6459.812824100093,7690.0,29239.0
ARA*,Number of searches,0.1,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.15,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.2,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.25,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.3,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.3500000000000001,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,0.4000000000000001,5.0,5.0,0.0,5.0,5.0
RTAA**,Number of searches,0.1,14.6,15.0,1.8030075208942802,11.0,17.0
RTAA**,Number of searches,0.15,16.4,16.0,2.502172968684897,12.0,20.0
RTAA**,Number of searches,0.2,17.6,18.0,3.3879582154396792,13.0,24.0
RTAA**,Number of searches,0.25,17.0,18.0,3.0050125348238,11.0,21.0
RTAA**,Number of searches,0.3,17.2,17.5,1.4721494761971552,14.0,19.0
RTAA**,Number of searches,0.3500000000000001,16.3,16.0,1.9551834888102926,13.0,20.0
RTAA**,Number of searches,0.4000000000000001,15.0,15.0,2.453582460328592,11.0,19.0
LRTA*,Number of searches,0.1,4.8,5.0,0.8732363975579963,3.0,6.0
LRTA*,Number of searches,0.15,7.1,7.0,1.448098741990747,5.0,10.0
LRTA*,Number of searches,0.2,8.8,8.5,1.6641005886756874,7.0,12.0
LRTA*,Number of searches,0.25,10.0,10.0,1.6761159114139401,8.0,13.0
LRTA*,Number of searches,0.3,13.2,12.5,3.405680872800307,8.0,20.0
LRTA*,Number of searches,0.3500000000000001,14.5,13.0,3.3597061505524857,11.0,22.0
LRTA*,Number of searches,0.4000000000000001,15.5,15.0,4.208209845092619,9.0,22.0
D* Lite,Number of searches,0.1,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.15,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.2,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.25,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.3,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.3500000000000001,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,0.4000000000000001,1.0,1.0,0.0,1.0,1.0
LPA*,Number of searches,0.1,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.15,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.2,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.25,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.3,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.3500000000000001,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,0.4000000000000001,2.0,2.0,0.0,2.0,2.0
