Algorithm,Metric,s/g distance,Mean,Median,Standard Deviation,Minimum,Maximum
LRTA*,Path cost,339.4112549695428,370.29439354130193,372.41987694089585,6.193965746048572,361.5706345359783,380.7838379715749
LRTA*,Path cost,254.55844122715712,275.8582320230526,277.3954903232557,4.7605155809581445,265.5878784786808,283.34523779156154
LRTA*,Path cost,169.7056274847714,183.95516574897218,183.4924240491752,4.345588793358905,177.90663761154826,191.5634918610407
LRTA*,Path cost,84.8528137423857,91.1432682994351,90.53910524340087,2.7777928576651316,87.78174593052015,96.36753236814704
LRTA*,Path cost,28.284271247461906,29.74873734152918,29.74873734152917,0.4730652247341744,28.870057685088817,30.62741699796953
D*,Path cost,420.0214280248092,492.7903171404453,492.65894629054685,2.786708043652475,488.21529547665097,496.7594513539351
D*,Path cost,339.4112549695428,399.74137059481046,398.98989873223434,1.9876029533471777,396.7178207935923,403.50461735799576
D*,Path cost,254.55844122715712,300.55100269293825,300.19953083036216,3.5203653804693134,295.5634918610411,305.6639969244293
D*,Path cost,169.7056274847714,202.13809511662447,201.75230867899757,1.940313116431661,199.23759005323612,205.6812408671321
D*,Path cost,84.8528137423857,102.31757569573594,102.66904755831207,2.277709361282067,98.32590180780446,105.74011537017752
D*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.1671791986451265,32.38477631085024,39.31370849898477
D* Lite,Path cost,420.0214280248092,437.03349878470345,437.5950211536184,1.369786495078014,434.0803025278569,438.7665940288722
D* Lite,Path cost,339.4112549695428,354.645865403878,354.1772362537765,1.1264876996396938,353.4701294725899,356.64170234784376
D* Lite,Path cost,254.55844122715712,265.29254659810334,265.2239174480019,0.9145197032841991,263.93102422918844,267.10259710444217
D* Lite,Path cost,169.7056274847714,177.96521625531096,178.19953083036174,0.6664371536416628,176.73506473629445,178.49242404917518
D* Lite,Path cost,84.8528137423857,88.6604255869605,88.6604255869605,0.7065588602369317,87.78174593052015,89.53910524340087
D* Lite,Path cost,28.284271247461906,29.74873734152918,29.74873734152917,0.4730652247341744,28.870057685088817,30.62741699796953
LPA*,Path cost,420.0214280248092,492.8731598529199,492.7802666341065,2.7093491217993027,488.5584412271586,496.7594513539352
LPA*,Path cost,339.4112549695428,399.8141628009463,398.98989873223434,2.024019319525832,396.9604614807116,403.7472580451151
LPA*,Path cost,254.55844122715712,300.55100269293825,300.19953083036216,3.5203653804693142,295.5634918610411,305.6639969244293
LPA*,Path cost,169.7056274847714,202.1623591853364,201.75230867899762,1.9168032418325507,199.23759005323612,205.6812408671321
LPA*,Path cost,84.8528137423857,102.31757569573594,102.66904755831207,2.277709361282067,98.32590180780446,105.74011537017752
LPA*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.1671791986451265,32.38477631085024,39.31370849898477
ARA*,Memory Allocation (KB),420.0214280248092,13620.055078125,13656.982421875,159.34278101129917,13355.48828125,13813.94921875
ARA*,Memory Allocation (KB),339.4112549695428,9541.946875,9546.126953125,116.5081300920214,9254.84375,9695.15234375
ARA*,Memory Allocation (KB),254.55844122715712,7727.028125,7727.05859375,187.69695805397475,7414.3515625,7995.15625
ARA*,Memory Allocation (KB),169.7056274847714,2748.87265625,2485.1953125,368.0641877912335,2401.109375,3304.6640625
ARA*,Memory Allocation (KB),84.8528137423857,740.8734375,803.99609375,97.82695184032305,607.328125,839.5703125
ARA*,Memory Allocation (KB),28.284271247461906,86.36640625,83.6015625,19.931847988809118,64.5234375,132.765625
RTAA**,Memory Allocation (KB),420.0214280248092,13004.689453125,13006.669921875,38.70337524973488,12959.56640625,13096.5625
RTAA**,Memory Allocation (KB),339.4112549695428,12879.47578125,12881.375,38.571584770338774,12817.3515625,12962.49609375
RTAA**,Memory Allocation (KB),254.55844122715712,12791.31953125,12800.93359375,34.27316059474917,12724.84375,12836.2734375
RTAA**,Memory Allocation (KB),169.7056274847714,12691.3234375,12684.48828125,28.75574268467338,12660.4375,12750.3515625
RTAA**,Memory Allocation (KB),84.8528137423857,12581.3859375,12583.04296875,12.285731262480814,12560.0546875,12604.703125
RTAA**,Memory Allocation (KB),28.284271247461906,12518.5234375,12518.828125,2.6582548180750645,12513.61328125,12522.60546875
