Algorithm,Metric,s/g distance,Mean,Median,Standard Deviation,Minimum,Maximum
D* Lite,Execution time (ms),28.284271247461906,46.464300191,48.069287,4.60312373597695,34.984392,53.192709
LPA*,Execution time (ms),420.0214280248092,6767.015171536001,6850.712511,276.5474915695453,6316.335254,7261.243301
LPA*,Execution time (ms),339.4112549695428,5197.372197628,5187.6237645,242.53633456982507,4611.271037,5730.932313
LPA*,Execution time (ms),254.55844122715712,2857.625629431,2857.4941755,233.69476951046968,2430.534068,3277.04553
LPA*,Execution time (ms),169.7056274847714,1231.7856465940001,1215.4943375,114.0390408764327,1049.248744,1457.805196
LPA*,Execution time (ms),84.8528137423857,296.74809891499996,301.372216,32.13279336465204,250.520745,349.105272
LPA*,Execution time (ms),28.284271247461906,60.024381433,58.212557000000004,10.515142813980402,47.760326,91.728281
ARA*,Path cost,420.0214280248092,492.7903171404453,492.65894629054685,2.783451727323617,488.2152954766509,496.7594513539352
ARA*,Path cost,339.4112549695428,399.74137059481046,398.98989873223434,1.9852804050748325,396.7178207935921,403.5046173579957
ARA*,Path cost,254.55844122715712,300.5510026929383,300.19953083036216,3.5162517729106995,295.5634918610411,305.6639969244294
ARA*,Path cost,169.7056274847714,202.1380951166245,201.7523086789975,1.938045827147988,199.23759005323612,205.6812408671321
ARA*,Path cost,84.8528137423857,102.31757569573593,102.66904755831207,2.2750478186771486,98.32590180780446,105.74011537017752
ARA*,Path cost,28.284271247461906,34.707821048680195,33.849242404917504,2.1646468124382916,32.38477631085024,39.31370849898475
RTAA**,Path cost,420.0214280248092,459.64212075605485,461.1391770309026,4.709993304368518,450.1391770309026,465.068109219037
RTAA**,Path cost,339.4112549695428,373.50545417441737,374.913780286486,4.358508411075067,365.9137802864859,379.77164466275485
RTAA**,Path cost,254.55844122715712,277.14624791833813,277.13203435596506,3.780428096389704,271.4457428549498,283.3036072312188
RTAA**,Path cost,169.7056274847714,186.02135623730976,185.885822331377,2.824268094603306,180.8355697996828,190.0071426749367
RTAA**,Path cost,84.8528137423857,90.31484117468894,90.41778489984122,1.464422813387339,87.78174593052015,92.4680374315354
RTAA**,Path cost,28.284271247461906,29.748737341529182,29.74873734152917,0.4725124398741139,28.870057685088817,30.62741699796953
LRTA*,Path cost,420.0214280248092,458.37908319697505,456.25187540311083,8.00597308909331,448.080302527857,470.4234482783646
LRTA*,Path cost,339.4112549695428,370.29439354130193,372.41987694089585,6.186727990430256,361.5706345359783,380.7838379715749
LRTA*,Path cost,254.55844122715712,275.85823202305266,277.3954903232557,4.754952836538039,265.5878784786808,283.34523779156154
LRTA*,Path cost,169.7056274847714,183.95516574897215,183.4924240491752,4.340510898034075,177.90663761154826,191.5634918610407
LRTA*,Path cost,84.8528137423857,91.14326829943512,90.53910524340087,2.774546958884547,87.78174593052015,96.36753236814704
