Algorithm,Metric,Obstacle Density,Mean,Median,Standard Deviation,Minimum,Maximum
D* Lite,Memory Allocation (KB),0.15,690.40859375,833.84765625,216.0033307630371,409.37109375,906.33984375
D* Lite,Memory Allocation (KB),0.2,841.60625,886.2109375,137.68941200016133,435.50390625,911.51953125
D* Lite,Memory Allocation (KB),0.25,871.27890625,914.65625,159.2213820939918,414.62890625,1001.95703125
D* Lite,Memory Allocation (KB),0.3,966.91328125,965.7578125,59.29144102891276,822.48828125,1024.77734375
D* Lite,Memory Allocation (KB),0.3500000000000001,1000.8203125,1003.5859375,34.507103337400615,935.92578125,1054.25390625
D* Lite,Memory Allocation (KB),0.4000000000000001,1043.1,1032.0546875,74.49986625712656,940.78515625,1187.26953125
LPA*,Memory Allocation (KB),0.1,1174.278515625,1168.30859375,50.11923484498582,1106.234375,1293.9140625
LPA*,Memory Allocation (KB),0.15,1356.234375,1372.77734375,52.78125196234095,1247.46875,1417.1875
LPA*,Memory Allocation (KB),0.2,1447.40859375,1435.9296875,50.34663411046814,1391.4453125,1549.28125
LPA*,Memory Allocation (KB),0.25,1788.2921875,1451.23046875,688.9843116038173,1401.140625,3173.3515625
LPA*,Memory Allocation (KB),0.3,1785.4640625,1461.67578125,692.3062963033619,1356.5078125,3190.03125
LPA*,Memory Allocation (KB),0.3500000000000001,2144.84765625,1483.71875,907.9253087442872,1241.5859375,3354.6328125
LPA*,Memory Allocation (KB),0.4000000000000001,2083.379375,1384.7890625,1128.022395794851,874.3125,3803.6640625
A*,Number of expanded nodes,0.1,34222.4,33800.0,2746.623977308738,30774.0,39570.0
A*,Number of expanded nodes,0.15,42772.6,43810.0,2863.929919858129,37034.0,45996.0
A*,Number of expanded nodes,0.2,45221.2,44864.0,2483.739799966855,42472.0,50066.0
A*,Number of expanded nodes,0.25,44430.8,43000.0,3689.1341624677825,40716.0,51626.0
A*,Number of expanded nodes,0.3,42198.8,41108.0,3645.7264534983115,36898.0,49498.0
A*,Number of expanded nodes,0.3500000000000001,42829.6,41158.0,6893.385311333253,31238.0,54446.0
A*,Number of expanded nodes,0.4000000000000001,37857.4,35499.0,13669.742715171704,16510.0,62142.0
ARA*,Number of expanded nodes,0.1,34996.1,34882.0,951.1595740744744,33599.0,36814.0
ARA*,Number of expanded nodes,0.15,36898.0,37228.0,1073.0153867498918,34802.0,38204.0
ARA*,Number of expanded nodes,0.2,37049.0,36649.0,1228.8633986433367,35890.0,40042.0
ARA*,Number of expanded nodes,0.25,36782.4,35313.5,3245.6503356045764,34096.0,43848.0
ARA*,Number of expanded nodes,0.3,36921.3,35500.5,5015.303510559486,31564.0,50106.0
ARA*,Number of expanded nodes,0.3500000000000001,44224.9,40254.0,12899.269946063388,29057.0,75782.0
ARA*,Number of expanded nodes,0.4000000000000001,63019.1,53751.5,34139.95731906347,25671.0,124662.0
RTAA**,Number of expanded nodes,0.1,3534.0,3603.5,454.5262824239556,2676.0,4205.0
RTAA**,Number of expanded nodes,0.15,4000.6,3928.0,629.8558757703418,2896.0,5000.0
RTAA**,Number of expanded nodes,0.2,4308.8,4457.0,862.5504581931964,3169.0,5935.0
RTAA**,Number of expanded nodes,0.25,4166.2,4423.5,747.9227529928772,2694.0,5151.0
RTAA**,Number of expanded nodes,0.3,4203.8,4269.0,368.99859023573464,3425.0,4717.0
RTAA**,Number of expanded nodes,0.3500000000000001,3987.2,3901.5,464.6094917217897,3244.0,4881.0
RTAA**,Number of expanded nodes,0.4000000000000001,3613.1,3618.0,602.4090442263102,2612.0,4660.0
LRTA*,Number of expanded nodes,0.1,1085.9,1084.5,220.32182613328868,741.0,1499.0
LRTA*,Number of expanded nodes,0.15,1576.1,1544.5,358.59136587035624,1039.0,2266.0
LRTA*,Number of expanded nodes,0.2,2076.8,1978.5,395.8320223263776,1618.0,2878.0
LRTA*,Number of expanded nodes,0.25,2353.5,2338.5,389.14831894974714,1860.0,3006.0
LRTA*,Number of expanded nodes,0.3,3170.8,2968.0,866.5124338287351,1840.0,4856.0
LRTA*,Number of expanded nodes,0.3500000000000001,3503.1,3137.0,812.6703022764029,2681.0,5271.0
LRTA*,Number of expanded nodes,0.4000000000000001,3753.8,3605.0,1074.3081212547634,2160.0,5449.0
D* Lite,Number of expanded nodes,0.1,3404.7,3554.5,691.2199798950119,2376.0,4395.0
D* Lite,Number of expanded nodes,0.15,4907.1,5032.5,554.2665460231241,3650.0,5681.0
D* Lite,Number of expanded nodes,0.2,5968.0,6174.5,610.2733283976413,4906.0,6658.0
D* Lite,Number of expanded nodes,0.25,6764.5,6782.0,1057.3328604454596,4791.0,8446.0
D* Lite,Number of expanded nodes,0.3,7947.2,7942.5,1085.935504158474,5313.0,9125.0
D* Lite,Number of expanded nodes,0.3500000000000001,8701.7,8802.0,614.6221718596021,7564.0,9643.0
