Algorithm,Metric,Grid size,Mean,Median,Standard Deviation,Minimum,Maximum
LPA*,Path cost,200.0,81.49676041556464,79.35533905932733,6.01474509604083,75.254833995939,98.0416305603426
LPA*,Path cost,250.0,79.45239533417507,79.0624458405139,2.430709769858348,75.84062043356592,85.11269837220804
LPA*,Path cost,300.0,79.9595021153616,79.76955262170043,2.7659619033587743,76.42640687119281,85.35533905932735
A*,Memory Allocation (KB),50.0,270.603228515625,277.359375,22.93084424485989,211.9609375,300.9921875
A*,Memory Allocation (KB),100.0,276.00689453125,274.65234375,9.809999446665206,261.7578125,290.7109375
A*,Memory Allocation (KB),150.0,270.58359375,258.515625,61.368403114690345,211.7265625,386.6875
A*,Memory Allocation (KB),200.0,274.24453125,270.5703125,92.37864532766481,193.3828125,525.3984375
A*,Memory Allocation (KB),250.0,245.840625,262.7109375,31.45064702631975,193.8046875,278.953125
A*,Memory Allocation (KB),300.0,256.49765625,257.72265625,51.61189946337933,179.796875,359.171875
ARA*,Memory Allocation (KB),50.0,342.2916298828125,292.32421875,77.56500560153077,275.5078125,487.1171875
ARA*,Memory Allocation (KB),100.0,356.0985283203125,331.6015625,71.59131606059967,285.140625,479.3515625
ARA*,Memory Allocation (KB),150.0,364.60078125,279.6796875,120.28222735981231,258.9765625,586.015625
ARA*,Memory Allocation (KB),200.0,346.4328125,290.97265625,102.65656246714809,261.421875,570.4453125
ARA*,Memory Allocation (KB),250.0,305.47109375,283.94140625,45.58499974549219,253.71875,380.15625
ARA*,Memory Allocation (KB),300.0,322.01328125,280.1640625,84.24860665526306,242.140625,498.4296875
RTAA**,Memory Allocation (KB),50.0,328.3564912109375,328.54296875,5.1273810610236445,320.40234375,340.9931640625
RTAA**,Memory Allocation (KB),100.0,1128.252265625,1128.87109375,11.626280821965818,1107.18359375,1148.49609375
RTAA**,Memory Allocation (KB),150.0,3103.36015625,3100.625,8.882455554012795,3093.52734375,3118.47265625
RTAA**,Memory Allocation (KB),200.0,4465.197265625,4467.21875,14.446169291343537,4427.1640625,4483.23828125
RTAA**,Memory Allocation (KB),250.0,7502.621484375,7504.1953125,13.625667801547415,7473.0859375,7522.63671875
RTAA**,Memory Allocation (KB),300.0,12571.9984375,12569.2734375,14.388800406146064,12557.4375,12611.4375
LRTA*,Memory Allocation (KB),50.0,312.77026171875,312.4296875,7.480825362048141,303.02734375,332.3916015625
LRTA*,Memory Allocation (KB),100.0,1113.51159765625,1109.73828125,10.812237131795003,1104.37890625,1140.42578125
LRTA*,Memory Allocation (KB),150.0,3082.04921875,3079.78125,6.588092183833282,3071.29296875,3094.35546875
LRTA*,Memory Allocation (KB),200.0,4446.337890625,4442.32421875,11.058144998567107,4427.4140625,4467.44140625
LRTA*,Memory Allocation (KB),250.0,7485.859765625,7484.7734375,7.75704055541948,7473.3359375,7504.55078125
LRTA*,Memory Allocation (KB),300.0,12548.8421875,12546.83203125,7.396684818069537,12540.515625,12566.65625
D*,Memory Allocation (KB),50.0,1009.6826201171875,1009.2421875,4.295216619101854,1007.2109375,1130.4560546875
D*,Memory Allocation (KB),100.0,4384.572506835938,4383.421875,7.647341412853299,4371.59375,4398.4375
D*,Memory Allocation (KB),150.0,11492.98984375,11491.64453125,34.25770124528517,11423.5546875,11555.6171875
D*,Memory Allocation (KB),200.0,15741.6375,15732.90625,41.286047508464826,15698.5625,15845.46875
D*,Memory Allocation (KB),250.0,26293.125,26288.78515625,24.220505976656103,26254.8671875,26351.6640625
D*,Memory Allocation (KB),300.0,43539.24609375,43537.92578125,32.091528198265486,43495.92578125,43605.19140625
D* Lite,Memory Allocation (KB),50.0,41.5235498046875,48.0,10.759823858111664,22.29296875,92.9296875
D* Lite,Memory Allocation (KB),100.0,49.9912529296875,49.953125,1.2515609377773829,47.19140625,51.62109375
D* Lite,Memory Allocation (KB),150.0,50.284375,50.73828125,0.9155177592455848,48.63671875,51.58203125
D* Lite,Memory Allocation (KB),200.0,42.72265625,49.69921875,10.91502658759689,24.6484375,50.85546875
D* Lite,Memory Allocation (KB),250.0,51.109375,49.90234375,3.8081385901856466,48.76953125,62.37109375
D* Lite,Memory Allocation (KB),300.0,47.88671875,50.42578125,7.581444684149012,25.21484375,51.31640625
LPA*,Memory Allocation (KB),50.0,44.5085888671875,45.578125,3.211121683860568,41.1953125,123.34375
LPA*,Memory Allocation (KB),100.0,44.4001669921875,45.375,2.219932214315052,40.5546875,46.984375
LPA*,Memory Allocation (KB),150.0,62.43515625,45.91015625,38.519811189843224,39.890625,141.03125
LPA*,Memory Allocation (KB),200.0,55.12578125,45.02734375,34.73048608668093,40.7421875,159.0703125
LPA*,Memory Allocation (KB),250.0,43.53515625,45.12890625,2.7990315503066054,39.7734375,47.1328125
